temp,max_temp,wind_speed,cloudcover,precip,humidity,class
27.043750000000003,29.7,20.662499999999998,82.9375,433.9,89.5625,100.0,1
79.52375,81.2,71.07249999999999,127.22749999999999,475.01,145.0825,135.18,1
73.55375000000001,91.66,69.0525,127.5375,471.59999999999997,137.4625,148.07999999999998,1
87.25375,66.94,57.2025,148.0375,484.38,127.9225,150.62,1
71.65375,79.39,62.6725,120.44749999999999,475.76,151.0425,156.78,1
73.71375,93.27,61.0125,122.7875,498.79999999999995,134.1925,158.28,1
72.08375000000001,67.61,83.4725,145.5575,478.44,130.0225,137.74,1
86.85375,85.22,58.832499999999996,137.4175,480.49,129.6825,145.09,1
88.62375,68.01,62.0125,128.7775,482.52,151.2725,154.61,1
83.25375,83.64,59.522499999999994,135.4875,492.46,151.0225,139.67000000000002,1
63.86375,79.44,67.9825,143.35750000000002,472.13,132.7725,142.34,1
69.58375000000001,93.3,71.24249999999999,129.1275,472.2,123.2525,148.9,1
64.40375,63.620000000000005,83.6525,116.67750000000001,494.30999999999995,145.0025,155.93,1
83.60375,67.0,73.1325,135.7975,472.28,143.9525,146.04,1
67.08375000000001,70.26,75.8325,122.8075,478.87,148.9125,162.16,1
87.87375,65.84,56.3425,121.8275,496.09999999999997,131.3825,161.05,1
63.073750000000004,70.69,75.4425,138.9375,487.35999999999996,134.4025,165.51,1
66.08375000000001,68.12,74.6325,144.4275,480.85999999999996,137.8025,149.9,1
86.15375,83.64,60.302499999999995,128.6475,490.15,138.7625,164.09,1
66.64375000000001,95.03,78.1625,137.5375,495.15999999999997,125.4725,136.5,1
23.20625,28.5,26.031250000000004,95.0625,430.09999999999997,91.4375,100.0,1
65.36625,80.47999999999999,71.58125,159.8825,491.58,150.51749999999998,163.22,1
76.37625,82.45,89.47125,130.98250000000002,472.49999999999994,141.4975,149.41,1
75.79625,62.95,80.48125,159.8025,473.95,136.2475,139.67000000000002,1
81.22625000000001,73.0,74.90125,141.5725,472.05999999999995,155.7475,153.97,1
62.37625,69.99000000000001,70.74125000000001,132.0025,491.06999999999994,131.7475,146.26,1
86.29625,85.09,79.71125,142.5925,479.79999999999995,144.8775,157.06,1
77.57625,94.06,72.25125,142.64249999999998,493.93999999999994,155.8875,133.75,1
75.35625,64.47999999999999,78.41125000000001,140.9025,490.39,156.3475,141.78,1
65.06625,86.11,75.74125000000001,159.5325,469.40999999999997,124.9975,143.9,1
63.896249999999995,62.53,75.82125,138.3625,489.53999999999996,157.2975,134.34,1
80.33625,75.91,80.91125000000001,153.0025,474.18999999999994,141.1575,149.69,1
61.85625,66.11,87.90125,144.2725,465.13,156.7475,145.41,1
63.98625,63.82,65.91125000000001,143.8625,491.56999999999994,149.2775,163.37,1
69.11625,89.1,86.60125000000001,142.4425,485.60999999999996,155.0575,143.13,1
69.77625,88.64,62.571250000000006,150.0625,473.46999999999997,126.5775,162.71,1
65.35625,87.38,82.82125,129.0425,481.17999999999995,126.39750000000001,163.18,1
57.01625,65.42,65.76125,160.8625,487.23999999999995,144.4575,158.07,1
72.88625,93.94,60.45125,138.7225,464.38,130.3375,162.11,1
64.40625,65.25,83.55125000000001,154.8825,478.11999999999995,140.7475,159.77,1
23.31875,27.7,25.949999999999996,96.875,309.6000000000001,89.9375,100.0,1
71.89875,73.81,63.129999999999995,137.965,360.0900000000001,144.4875,156.82999999999998,1
86.56875,70.48,85.60999999999999,139.235,361.1500000000001,137.60750000000002,145.91,1
80.00874999999999,78.34,80.69,157.515,373.4100000000001,134.3275,141.35,1
83.74875,89.75,69.99,148.505,371.7800000000001,141.7075,159.97,1
66.78875,86.41,72.37,131.555,366.86000000000007,131.7375,161.45,1
86.80875,65.49,61.69,143.885,349.19000000000005,135.5875,141.69,1
59.25875,88.16,81.22999999999999,132.185,356.24000000000007,135.9675,160.65,1
65.95875000000001,74.89,72.99,135.995,354.9700000000001,130.3875,162.56,1
75.24875,88.87,75.66,137.985,353.0100000000001,149.51749999999998,133.8,1
83.16875,89.73,85.35999999999999,159.745,370.4200000000001,154.6375,164.09,1
88.20875000000001,66.78,63.769999999999996,155.865,342.9600000000001,142.6275,133.41,1
78.12875,73.81,65.75,151.785,348.4000000000001,125.17750000000001,137.18,1
57.50875,75.5,65.1,154.355,365.9500000000001,127.7575,147.68,1
75.68875,91.42999999999999,76.72999999999999,145.395,374.3400000000001,132.8475,152.22,1
89.18875,66.84,90.25,146.985,350.4200000000001,127.94749999999999,138.53,1
89.77875,66.0,92.07,146.725,348.80000000000007,141.7275,144.17000000000002,1
89.32875000000001,71.52,62.809999999999995,136.555,348.68000000000006,138.4775,157.03,1
64.09875,90.11,83.65,152.665,354.11000000000007,140.0375,162.28,1
63.57875,70.1,70.27,152.755,361.6700000000001,132.4675,155.89,1
23.425,27.3,28.2625,97.3125,418.30000000000007,89.625,100.0,1
83.325,79.81,89.8325,133.9025,468.55000000000007,142.775,139.04,1
83.465,67.68,82.3225,154.0925,481.9800000000001,131.665,161.1,1
82.115,77.24,71.0925,132.0325,483.44000000000005,142.605,136.94,1
60.465,64.83,73.6825,143.6825,465.86000000000007,148.615,160.18,1
67.19500000000001,93.0,70.99249999999999,142.7225,459.37000000000006,134.375,166.36,1
75.405,92.6,76.0825,162.2425,455.68000000000006,146.535,148.24,1
72.265,74.49,78.0325,151.8125,460.5300000000001,154.655,143.09,1
66.525,64.29,85.5725,133.2125,461.1400000000001,155.735,141.8,1
64.955,92.47,80.9525,134.1025,473.7900000000001,127.285,138.86,1
67.135,70.8,78.4825,132.23250000000002,481.63000000000005,138.825,153.05,1
61.845,69.93,72.3525,144.3325,466.0200000000001,138.79500000000002,149.75,1
74.325,61.78,87.7625,135.0125,469.7300000000001,151.555,166.18,1
59.965,81.72,76.7725,144.9625,473.5200000000001,149.815,153.0,1
68.735,87.55,78.5625,141.8425,469.3500000000001,128.935,139.99,1
81.895,80.63,63.2825,156.9325,452.61000000000007,126.345,153.02,1
67.995,75.03,78.6025,152.8625,478.19000000000005,151.985,156.45,1
66.065,66.27,89.5025,160.8425,458.69000000000005,131.535,163.41,1
90.015,87.82000000000001,91.9425,152.9225,460.6500000000001,152.035,147.86,1
60.364999999999995,91.0,62.7325,150.6625,474.83000000000004,129.125,164.63,1
22.575,25.6,20.537499999999998,97.5625,432.0000000000001,88.5625,100.0,1
74.565,74.4,83.0775,134.8425,489.42000000000013,154.4425,138.22,1
86.475,86.81,68.97749999999999,138.8325,488.9000000000001,146.1825,155.4,1
64.535,77.38,79.7375,158.6525,484.4300000000001,152.9425,137.15,1
86.735,75.39,79.6075,143.5325,474.2000000000001,151.5625,161.38,1
85.845,71.42,79.2675,157.5425,477.04000000000013,123.9325,140.16,1
86.185,71.46000000000001,84.8975,140.3125,474.1500000000001,123.30250000000001,158.24,1
68.525,65.1,80.2975,159.5225,475.7600000000001,133.6125,155.56,1
59.915000000000006,67.09,76.3775,137.7525,483.0600000000001,140.3525,147.12,1
58.425,88.83,64.7475,158.2525,491.72000000000014,150.48250000000002,133.53,1
86.775,79.82,56.1875,136.3325,469.6600000000001,150.48250000000002,141.03,1
76.575,83.45,80.6375,149.3625,467.0600000000001,127.4625,160.34,1
67.315,63.93,55.97749999999999,132.0125,488.47000000000014,129.9425,149.24,1
89.00500000000001,83.50999999999999,55.2375,143.5025,492.4500000000001,143.8325,146.78,1
78.325,82.41,71.2475,139.9425,498.22000000000014,139.6825,133.85,1
59.745000000000005,83.84,82.3975,138.4425,485.6400000000001,154.6925,155.05,1
72.255,62.6,67.7675,137.3125,489.7100000000001,155.1625,153.84,1
69.425,78.33,55.3275,143.39249999999998,476.0600000000001,125.29249999999999,142.22,1
64.835,72.0,75.9375,134.9225,486.5700000000001,143.2825,145.97,1
63.474999999999994,90.00999999999999,77.2675,135.1525,487.3300000000001,143.0725,145.32,1
26.00625,28.9,22.856250000000003,96.8125,523.6,91.625,100.0,1
88.95625000000001,85.05,62.346250000000005,142.4425,583.1700000000001,140.485,150.51,1
64.85625,74.99000000000001,81.73625000000001,155.0525,569.34,152.495,156.87,1
70.74625,65.4,72.04625,142.0225,580.24,154.055,140.34,1
76.98625,62.74,59.24625,137.4225,561.1600000000001,136.215,145.04,1
65.22625,81.16,66.65625,141.4625,580.6700000000001,138.815,137.46,1
90.82624999999999,73.21000000000001,69.18625,142.9925,559.24,135.20499999999998,153.76,1
85.09625,93.60999999999999,62.61625,158.4925,565.0600000000001,152.825,136.57,1
59.62625,89.33,70.94625,138.9525,584.77,140.345,144.07,1
88.98625,81.74000000000001,58.00625,132.0625,581.07,154.065,159.93,1
76.86625000000001,83.47,61.816250000000004,149.6525,585.19,156.20499999999998,156.25,1
60.33625,74.57,86.12625,149.2125,581.58,154.305,141.52,1
90.55625,94.94,81.10625,147.3825,578.21,148.855,144.17000000000002,1
65.21625,63.55,80.87625,143.7225,558.38,133.905,136.31,1
83.01625,85.39,81.08625,143.0825,581.52,146.29500000000002,139.73,1
76.69624999999999,78.81,71.49625,156.3225,581.3000000000001,125.535,139.95,1
80.03625,92.59,57.566250000000004,147.0425,582.73,139.975,144.85,1
83.15625,70.8,78.43625,147.8225,584.53,156.995,141.56,1
87.46625,91.43,88.34625,155.1525,588.59,141.505,140.24,1
70.24625,79.75999999999999,69.35625,146.1625,563.98,138.945,149.16,1
26.39375,28.8,25.69375,96.25,588.0999999999998,90.4375,100.0,1
91.91375,82.51,88.31375,136.46,652.1199999999998,152.6375,152.91,1
87.69375,81.9,71.08375000000001,148.95,640.9099999999999,135.5675,153.56,1
70.99375,89.57000000000001,72.47375,145.15,649.6699999999998,142.10750000000002,161.02,1
83.32375,67.99,89.49375,130.51,630.5299999999997,150.8075,147.36,1
69.48375,66.85,67.09375,157.66,637.5399999999997,131.3875,157.37,1
64.97375,87.51,60.393750000000004,147.91,626.3999999999997,131.0475,164.51,1
90.58375,82.13,82.72375,161.43,643.8599999999998,150.2975,134.94,1
76.06375,66.37,63.10375,144.17000000000002,644.2499999999998,139.7775,154.39,1
62.25375,64.45,85.33375000000001,160.94,633.6699999999998,144.7575,156.12,1
73.41375000000001,83.8,91.07374999999999,162.43,635.8499999999998,146.9375,140.38,1
75.20375,64.28,64.83375000000001,146.21,653.2599999999998,156.6375,161.32999999999998,1
77.52375,77.66,84.43375,150.0,636.6199999999998,129.9775,147.04,1
81.28375,77.54,85.96375,152.16,648.1399999999998,133.7275,145.87,1
92.80375,88.32000000000001,76.19375,162.32,644.0199999999998,136.6475,155.57999999999998,1
81.12375,66.3,61.033750000000005,130.78,639.4099999999999,127.0675,146.72,1
67.92375,76.34,72.00375,139.39,642.6299999999998,149.0375,153.07999999999998,1
88.60375,83.84,63.37375,157.18,649.7199999999998,137.8175,151.46,1
75.74375,78.14,76.41375,160.06,646.8099999999998,144.6475,153.28,1
73.18375,68.62,87.66375,158.24,631.4399999999998,126.8375,147.8,1
23.687499999999993,27.7,26.943750000000005,90.3125,333.20000000000005,89.1875,100.0,1
61.54749999999999,73.62,93.48375000000001,145.73250000000002,387.31000000000006,127.5575,138.95,1
71.58749999999999,87.54,60.78375000000001,136.5925,392.19000000000005,130.8075,136.2,1
73.9575,65.5,82.23375,141.5725,367.47,154.4475,153.99,1
66.7475,77.19,75.96375,133.5525,370.21000000000004,124.5875,134.91,1
81.9275,85.86,61.41375000000001,141.0325,392.18000000000006,131.5475,152.04,1
86.51749999999998,61.34,70.27375,133.9525,398.56000000000006,126.6375,160.26,1
61.26749999999999,73.03,81.92375,123.6425,369.1700000000001,154.26749999999998,158.8,1
