temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
24.5125,30.1,13.487499999999999,73.3125,68.49999999999999,85.875,87.5,52.08,89.33,2,1,1
24.00625,33.9,18.25,7.0625,0.0,48.3125,0.0,58.53,72.79,0,0,0
23.774999999999995,26.9,28.43125,95.0,97.79999999999998,85.4375,100.0,57.63,99.79,4,2,1
21.862499999999994,29.3,14.218750000000002,8.875,1.9,64.1875,6.25,57.45,92.97,4,3,1
24.1375,29.4,14.075,74.4375,135.29999999999998,86.0,93.75,90.82,100.0,9,5,1
25.481249999999996,34.3,13.86875,12.4375,0.0,42.6875,0.0,60.98,81.76,0,0,0
22.53125,30.5,13.624999999999998,72.5,84.9,77.1875,56.25,41.51,73.19,0,0,0
24.10625,28.2,26.050000000000004,92.375,207.10000000000002,87.125,100.0,41.68,93.18,2,1,1
24.462500000000002,30.3,12.412499999999998,57.875,38.199999999999996,77.1875,43.75,71.67,100.0,6,3,1
27.38125,34.9,24.8625,68.25,22.1,70.0,87.5,7.1,42.6,0,0,0
28.999999999999993,39.9,21.893750000000004,26.25,7.8999999999999995,62.625,56.25,15.9,51.2,0,0,0
23.3,28.1,25.206249999999997,96.6875,220.00000000000003,87.5,100.0,44.79,90.27,2,1,1
30.406250000000004,40.5,21.181250000000002,44.1875,0.30000000000000004,40.1875,12.5,6.48,38.87,0,0,0
24.150000000000002,28.1,28.51875,94.6875,104.00000000000001,86.1875,100.0,50.86,87.5,3,2,1
29.687499999999996,39.3,18.293750000000003,21.25,0.0,41.625,0.0,9.36,46.05,0,0,0
26.225,36.8,18.3875,20.9375,0.0,35.125,0.0,31.99,60.79,0,0,0
31.862499999999994,41.4,19.83125,18.3125,3.2,34.0625,18.75,16.42,45.02,0,0,0
24.037499999999998,30.1,15.706249999999997,81.6875,56.79999999999999,87.25,100.0,50.95,93.11,2,1,1
24.9875,31.7,12.0375,56.875,89.09999999999998,78.9375,43.75,78.69,99.95,7,4,1
22.775,29.8,14.3375,31.75,3.6000000000000005,60.75,18.75,42.16,75.7,0,0,0
21.36875,31.9,12.887499999999998,8.0,0.0,53.125,0.0,13.75,82.48,0,0,0
24.600000000000005,30.0,22.65625,87.0,59.8,82.1875,93.75,51.56,92.87,3,2,1
21.931250000000002,29.7,13.525,7.8125,0.0,59.4375,0.0,56.28,92.49,4,3,1
29.756250000000005,41.6,20.662499999999998,17.0,0.2,40.0625,6.25,3.94,9.24,0,0,0
28.656249999999996,39.9,22.481250000000003,32.1875,10.399999999999999,64.0625,62.5,16.07,46.05,0,0,0
27.662499999999998,38.3,19.40625,65.4375,46.0,67.875,87.5,8.4,22.58,0,0,0
23.687499999999996,34.9,14.45625,13.8125,0.0,42.375,0.0,19.79,81.77,0,0,0
23.943750000000005,28.5,21.706249999999997,90.4375,176.7,87.3125,100.0,62.3,100.0,5,3,1
30.0,42.2,20.83125,28.1875,0.0,39.75,0.0,17.69,42.33,0,0,0
24.056250000000002,29.9,22.018749999999997,84.0,55.699999999999996,85.5625,100.0,82.83,100.0,7,4,1
24.8875,32.5,20.224999999999998,70.75,63.300000000000004,81.6875,93.75,50.08,91.54,3,2,1
24.8,30.3,21.925000000000004,77.375,117.79999999999998,85.25,100.0,20.17,93.18,2,1,1
21.45625,31.0,12.1625,2.6875,0.0,47.9375,0.0,28.43,60.12,0,0,0
30.2875,39.7,20.806250000000002,22.5625,1.5,49.9375,12.5,10.21,52.95,0,0,0
23.256250000000005,27.6,25.393749999999997,96.8125,230.8,88.1875,100.0,44.29,93.18,2,1,1
23.175,30.5,13.649999999999999,26.125,1.4000000000000001,64.8125,43.75,19.08,67.25,0,0,0
27.200000000000003,37.6,19.5,34.3125,5.8,58.4375,50.0,13.29,43.12,0,0,0
24.6,31.0,13.100000000000001,75.25,148.89999999999998,83.4375,62.5,60.94,98.64,5,3,1
25.75,35.1,13.381250000000001,2.875,0.0,26.3125,0.0,35.66,62.89,0,0,0
22.48125,30.8,11.406250000000002,13.9375,0.0,54.6875,0.0,47.54,83.07,0,0,0
24.7875,31.7,13.056249999999999,59.5625,13.6,60.1875,18.75,51.81,90.59,3,2,1
27.79375,37.8,20.85,57.4375,61.10000000000001,64.625,81.25,5.86,30.0,0,0,0
26.13125,34.6,16.6875,73.25,83.60000000000001,77.8125,81.25,11.72,39.92,0,0,0
30.856250000000003,41.0,21.825,28.4375,0.5,32.3125,18.75,30.16,50.68,0,0,0
24.7875,30.4,24.74375,94.9375,143.9,84.1875,100.0,18.69,49.5,0,0,0
29.587500000000002,39.0,19.5625,31.3125,1.8,59.0625,25.0,6.35,37.13,0,0,0
23.4375,29.9,15.012500000000003,76.25,156.0,86.75,81.25,62.59,100.0,6,4,1
21.137500000000003,30.4,13.712500000000002,28.75,1.5,70.875,18.75,24.34,78.2,0,0,0
24.550000000000004,36.0,18.2,20.3125,1.0,56.6875,6.25,26.85,52.97,0,0,0
25.037499999999998,31.2,18.4375,79.4375,66.60000000000001,81.9375,100.0,11.87,30.95,0,0,0
23.075,33.7,15.6875,28.8125,0.6,55.25,12.5,30.79,76.81,0,0,0
